Designator,Mid X,Mid Y,Layer,Rotation
C1,163.068000,-58.928000,Top,-90.000000
C2,178.842500,-65.199500,Top,0.000000
C3,178.842500,-63.167500,Top,0.000000
C4,178.908500,-61.135500,Top,0.000000
D1,156.210000,-59.436000,Top,180.000000
J1,166.565500,-53.404500,Top,0.000000
J2,149.816000,-53.274000,Top,0.000000
Q1,139.446000,-60.706000,Top,0.000000
R1,152.908000,-71.882000,Top,0.000000
R2,146.558000,-71.374000,Top,0.000000
R3,146.558000,-69.342000,Top,0.000000
R4,152.908000,-64.262000,Top,180.000000
R5,135.382000,-67.818000,Top,0.000000
R6,135.024500,-59.944000,Top,0.000000
U1,168.240500,-64.945500,Top,0.000000
U2,153.162000,-68.072000,Top,0.000000
U3,140.970000,-69.850000,Top,0.000000
U4,129.479000,-57.978000,Top,0.000000
