Designator,Mid X,Mid Y,Layer,Rotation
C1,218.948000,-24.130000,Top,180.000000
C2,150.622000,-56.388000,Top,180.000000
C3,152.654000,-43.434000,Top,180.000000
C4,149.860000,-44.262000,Top,90.000000
C5,197.612000,-64.770000,Top,0.000000
C6,194.564000,-59.370000,Top,90.000000
C7,146.812000,-56.896000,Top,0.000000
C8,162.052000,-38.608000,Top,180.000000
C9,178.562000,-38.862000,Top,90.000000
C10,178.496000,-55.372000,Top,0.000000
C11,165.100000,-57.658000,Top,270.000000
C12,150.622000,-52.070000,Top,180.000000
C13,150.876000,-41.402000,Top,180.000000
C14,165.100000,-34.290000,Top,0.000000
C15,150.622000,-46.990000,Top,0.000000
C16,177.226000,-57.404000,Top,180.000000
C17,180.594000,-40.640000,Top,270.000000
D1,210.058000,-24.130000,Top,0.000000
D2,209.930000,-26.670000,Top,180.000000
D3,182.751000,-62.230000,Top,0.000000
D4,182.880000,-59.944000,Top,0.000000
F1,214.733500,-24.384000,Top,180.000000
FB1,150.622000,-58.420000,Top,180.000000
IC1,100.330000,-86.360000,Top,0.000000
J1,181.650000,-71.120000,Top,0.000000
J2,226.114500,-28.245000,Top,90.000000
J3,150.114000,-62.484000,Top,270.000000
J4,202.692000,-48.514000,Top,180.000000
J5,182.720000,-26.670000,Top,180.000000
J6,153.870000,-25.400000,Top,0.000000
J7,130.810000,-41.950000,Top,270.000000
J8,198.120000,-40.052000,Top,90.000000
J9,130.810000,-50.840000,Top,270.000000
J10,175.888000,-32.766000,Top,0.000000
J11,163.950000,-71.120000,Top,0.000000
J12,209.550000,-38.380000,Top,270.000000
J13,111.520000,-74.930000,Top,180.000000
R1,218.948000,-22.098000,Top,0.000000
R2,215.241500,-26.670000,Top,180.000000
R3,215.138000,-32.766000,Top,180.000000
R4,167.894000,-35.052000,Top,270.000000
R5,215.241500,-28.702000,Top,0.000000
R6,215.138000,-30.734000,Top,0.000000
R7,157.226000,-32.766000,Top,0.000000
R8,162.052000,-30.480000,Top,0.000000
R9,186.436000,-62.230000,Top,180.000000
R10,186.436000,-60.198000,Top,180.000000
R11,150.622000,-54.102000,Top,180.000000
R12,150.622000,-49.022000,Top,0.000000
R13,183.134000,-47.498000,Top,180.000000
R14,183.134000,-43.434000,Top,0.000000
R15,183.134000,-45.368000,Top,0.000000
SW1,166.956000,-31.496000,Top,0.000000
SW2,146.304000,-43.180000,Top,0.000000
U1,205.740000,-30.480000,Top,0.000000
U2,200.152000,-60.198000,Top,0.000000
U3,170.180000,-46.990000,Top,0.000000
Y1,146.558000,-48.006000,Top,270.000000
