Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",218.948000,-24.130000,180.000000,top
"C2","100nF","C_0805_2012Metric",150.622000,-56.388000,180.000000,top
"C3","15pF","C_0805_2012Metric",152.654000,-43.434000,180.000000,top
"C4","15pF","C_0805_2012Metric",149.860000,-44.262000,90.000000,top
"C5","4.7µF","C_0805_2012Metric",197.612000,-64.770000,0.000000,top
"C6","4.7µF","C_0805_2012Metric",194.564000,-59.370000,90.000000,top
"C7","4.7µF","C_0805_2012Metric",146.812000,-56.896000,0.000000,top
"C8","100nF","C_0805_2012Metric",162.052000,-38.608000,180.000000,top
"C9","100nF","C_0805_2012Metric",178.562000,-38.862000,90.000000,top
"C10","100nF","C_0805_2012Metric",178.496000,-55.372000,0.000000,top
"C11","100nF","C_0805_2012Metric",165.100000,-57.658000,-90.000000,top
"C12","100nF","C_0805_2012Metric",150.622000,-52.070000,180.000000,top
"C13","100nF","C_0805_2012Metric",150.876000,-41.402000,180.000000,top
"C14","4.7µF","C_0805_2012Metric",165.100000,-34.290000,0.000000,top
"C15","100nF","C_0805_2012Metric",150.622000,-46.990000,0.000000,top
"C16","2.2µF","C_0805_2012Metric",177.226000,-57.404000,180.000000,top
"C17","2.2µF","C_0805_2012Metric",180.594000,-40.640000,-90.000000,top
"D1","D_Schottky","D_SOD-123",210.058000,-24.130000,0.000000,top
"D2","D_Zener","D_SOD-123",209.930000,-26.670000,180.000000,top
"D3","LED","LED_0805_2012Metric",182.751000,-62.230000,0.000000,top
"D4","LED","LED_0805_2012Metric",182.880000,-59.944000,0.000000,top
"F1","Polyfuse","Fuse_1206_3216Metric",214.733500,-24.384000,180.000000,top
"FB1","600Ω @ 100MHz","L_0805_2012Metric",150.622000,-58.420000,180.000000,top
"IC1","MT6835GT-STD","SOP65P640X120-16N",100.330000,-86.360000,0.000000,top
"J1","Motor_Off","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",181.650000,-71.120000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",226.114500,-28.245000,90.000000,top
"J3","Conn_01x07","JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical",150.114000,-62.484000,-90.000000,top
"J4","PWM_OUT","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",202.692000,-48.514000,180.000000,top
"J5","CAN_Connector","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",182.720000,-26.670000,180.000000,top
"J6","I2C_Connector","JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical",153.870000,-25.400000,0.000000,top
"J7","E-Stop","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",130.810000,-41.950000,-90.000000,top
"J8","UART_Connector","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",198.120000,-40.052000,90.000000,top
"J9","TEMP","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",130.810000,-50.840000,-90.000000,top
"J10","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",175.888000,-32.766000,0.000000,top
"J11","Shift Register","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",163.950000,-71.120000,0.000000,top
"J12","MT6835","JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical",209.550000,-38.380000,-90.000000,top
"J13","MT6835","JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical",111.520000,-74.930000,180.000000,top
"R1","1M","R_0805_2012Metric",218.948000,-22.098000,0.000000,top
"R2","5.1k","R_0805_2012Metric",215.241500,-26.670000,180.000000,top
"R3","5.1k","R_0805_2012Metric",215.138000,-32.766000,180.000000,top
"R4","10k","R_0805_2012Metric",167.894000,-35.052000,-90.000000,top
"R5","22","R_0805_2012Metric",215.241500,-28.702000,0.000000,top
"R6","22","R_0805_2012Metric",215.138000,-30.734000,0.000000,top
"R7","2.2k","R_0805_2012Metric",157.226000,-32.766000,0.000000,top
"R8","2.2k","R_0805_2012Metric",162.052000,-30.480000,0.000000,top
"R9","R","R_0805_2012Metric",186.436000,-62.230000,180.000000,top
"R10","R","R_0805_2012Metric",186.436000,-60.198000,180.000000,top
"R11","R","R_0805_2012Metric",150.622000,-54.102000,180.000000,top
"R12","10k","R_0805_2012Metric",150.622000,-49.022000,0.000000,top
"R13","5.1k","R_0805_2012Metric",183.134000,-47.498000,180.000000,top
"R14","5.1k","R_0805_2012Metric",183.134000,-43.434000,0.000000,top
"R15","5.1k","R_0805_2012Metric",183.134000,-45.368000,0.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",166.956000,-31.496000,0.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",146.304000,-43.180000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",205.740000,-30.480000,0.000000,top
"U2","LDL111733R-3.3","SOT-223-3_TabPin2",200.152000,-60.198000,0.000000,top
"U3","STM32F407VGTx","LQFP-100_14x14mm_P0.5mm",170.180000,-46.990000,0.000000,top
"Y1","8MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",146.558000,-48.006000,-90.000000,top
