Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,219.5595,-22.86,90,top
C2,100nF,C_0805_2012Metric,150.622,-56.388,180,top
C3,15pF,C_0805_2012Metric,152.654,-43.434,180,top
C4,15pF,C_0805_2012Metric,149.86,-44.262,90,top
C5,4.7µF,C_0805_2012Metric,197.612,-64.77,0,top
C6,4.7µF,C_0805_2012Metric,194.564,-59.37,90,top
C7,4.7µF,C_0805_2012Metric,146.812,-56.896,0,top
C8,100nF,C_0805_2012Metric,162.052,-38.608,180,top
C9,100nF,C_0805_2012Metric,178.562,-38.862,90,top
C10,100nF,C_0805_2012Metric,178.496,-55.372,0,top
C11,100nF,C_0805_2012Metric,165.1,-57.658,-90,top
C12,100nF,C_0805_2012Metric,150.622,-52.07,180,top
C13,100nF,C_0805_2012Metric,150.876,-41.402,180,top
C14,4.7µF,C_0805_2012Metric,165.1,-34.29,0,top
C15,100nF,C_0805_2012Metric,150.622,-46.99,0,top
C16,2.2µF,C_0805_2012Metric,177.226,-57.404,180,top
C17,2.2µF,C_0805_2012Metric,180.594,-40.64,-90,top
D1,D_Schottky,D_SOD-123,210.058,-24.13,0,top
D2,D_Zener,D_SOD-123,209.93,-26.67,180,top
D3,LED,LED_0805_2012Metric,182.751,-62.23,0,top
D4,LED,LED_0805_2012Metric,182.88,-60.198,0,top
F1,Polyfuse,Fuse_1206_3216Metric,214.7335,-24.384,180,top
FB1,600Ω @ 100MHz,L_0805_2012Metric,150.622,-58.42,180,top
IC1,MT6835GT-STD,SOP65P640X120-16N,100.33,-86.36,0,top
J1,Motor_Off,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,181.65,-71.12,0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,226.1145,-28.245,90,top
J3,Conn_01x07,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,150.114,-62.484,-90,top
J4,PWM_OUT,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,202.692,-48.514,180,top
J6,CAN_Connector,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,182.72,-26.67,180,top
J8,I2C_Connector,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,153.87,-25.4,0,top
J9,E-Stop,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,130.81,-41.95,-90,top
J10,UART_Connector,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,198.12,-40.052,90,top
J12,TEMP,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,130.81,-50.84,-90,top
J13,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,175.888,-32.766,0,top
J15,Shift Register,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,163.95,-71.12,0,top
J16,MT6835,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,209.55,-38.38,-90,top
J17,MT6835,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,111.52,-74.93,180,top
R1,5.1k,R_0805_2012Metric,215.2415,-26.67,180,top
R2,5.1k,R_0805_2012Metric,215.138,-32.766,180,top
R3,10k,R_0805_2012Metric,167.894,-35.052,-90,top
R4,22,R_0805_2012Metric,215.2415,-28.702,0,top
R5,22,R_0805_2012Metric,215.138,-30.734,0,top
R6,R,R_0805_2012Metric,186.436,-62.23,180,top
R7,R,R_0805_2012Metric,186.436,-60.198,180,top
R8,R,R_0805_2012Metric,150.622,-54.102,180,top
R9,10k,R_0805_2012Metric,150.622,-49.022,0,top
R10,5.1k,R_0805_2012Metric,183.134,-47.498,180,top
R11,5.1k,R_0805_2012Metric,183.134,-43.434,0,top
R12,5.1k,R_0805_2012Metric,183.134,-45.368,0,top
SW1,SW_Push,SW_SPST_B3U-1000P,166.956,-31.496,0,top
SW2,SW_Push,SW_SPST_B3U-1000P,146.304,-43.18,0,top
U1,USBLC6-2SC6,SOT-23-6,205.74,-30.48,0,top
U2,LDL111733R-3.3,SOT-223-3_TabPin2,200.152,-60.198,0,top
U3,STM32F407VGTx,LQFP-100_14x14mm_P0.5mm,170.18,-46.99,0,top
Y1,8MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,146.558,-48.006,-90,top
