Comment,Designator,Footprint,LCSC Part #
0.1uF,C1,C_0805_2012Metric,C49678
100nF,"C2,C8,C9,C10,C11,C12,C13,C15",C_0805_2012Metric,C49678
15pF,"C3,C4",C_0805_2012Metric,C107110
4.7uF,"C5,C6,C7,C14",C_0805_2012Metric,C98195
2.2uF,"C16,C17",C_0805_2012Metric,C19110
D_Schottky,D1,D_SOD-123,C130887
D_Zener,D2,D_SOD-123,C2827905
GREEN,D3,LED_0805_2012Metric,C2297
RED,D4,LED_0805_2012Metric,C2295
Polyfuse,F1,Fuse_1206_3216Metric,C46641014
600ohm@100MHz,FB1,L_0805_2012Metric,C85837
MT6835GT-STD,IC1,SOP65P640X120-16N,C2932578
Motor_Off,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Conn_01x07,J3,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,C144398
PWM_OUT,J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
CAN_Connector,J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
I2C_Connector,J6,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,C144398
E-Stop,J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
UART_Connector,J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
TEMP,J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
Conn_01x05,J10,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
Shift_Register,J11,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
MT6835,"J12,J13",JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,C157966
1M,R1,R_0805_2012Metric,C17514
5.1k,"R2,R3,R13,R14,R15",R_0805_2012Metric,C27834
10k,"R4,R11,R12",R_0805_2012Metric,C17414
22,"R5,R6",R_0805_2012Metric,C17561
2.2k,"R7,R8",R_0805_2012Metric,C17520
1.5k,"R9,R10",R_0805_2012Metric,C4310
SW_Push,"SW1,SW2",SW_SPST_B3U-1000P,C231329
USBLC6-2SC6,U1,SOT-23-6,C2827654
LDL111733R-3.3,U2,SOT-223-3_TabPin2,C435835
STM32F407VGTx,U3,LQFP-100_14x14mm_P0.5mm,C12345
8MHz,Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,C157341
