"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"0.1uF";;;
2;"C2, C8, C9, C10, C11, C12, C13, C15";"C_0805_2012Metric";8;"100nF";;;
3;"C3, C4";"C_0805_2012Metric";2;"15pF";;;
4;"C5, C6, C7, C14";"C_0805_2012Metric";4;"4.7µF";;;
5;"C16, C17";"C_0805_2012Metric";2;"2.2µF";;;
6;"D1";"D_SOD-123";1;"D_Schottky";;;
7;"D2";"D_SOD-123";1;"D_Zener";;;
8;"D3";"LED_0805_2012Metric";1;"GREEN";;;
9;"D4";"LED_0805_2012Metric";1;"RED";;;
10;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
11;"FB1";"L_0805_2012Metric";1;"600Ω @ 100MHz";;;
12;"IC1";"SOP65P640X120-16N";1;"MT6835GT-STD";;;
13;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Motor_Off";;;
14;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
15;"J3";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"Conn_01x07";;;
16;"J4";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"PWM_OUT";;;
17;"J5";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"CAN_Connector";;;
18;"J6";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"I2C_Connector";;;
19;"J7";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"E-Stop";;;
20;"J8";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"UART_Connector";;;
21;"J9";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"TEMP";;;
22;"J10";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
23;"J11";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Shift Register";;;
24;"J12, J13";"JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical";2;"MT6835";;;
25;"R1";"R_0805_2012Metric";1;"1M";;;
26;"R2, R3, R13, R14, R15";"R_0805_2012Metric";5;"5.1k";;;
27;"R4, R11, R12";"R_0805_2012Metric";3;"10k";;;
28;"R5, R6";"R_0805_2012Metric";2;"22";;;
29;"R7, R8";"R_0805_2012Metric";2;"2.2k";;;
30;"R9, R10";"R_0805_2012Metric";2;"1.5k";;;
31;"SW1, SW2";"SW_SPST_B3U-1000P";2;"SW_Push";;;
32;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
33;"U2";"SOT-223-3_TabPin2";1;"LDL111733R-3.3";;;
34;"U3";"LQFP-100_14x14mm_P0.5mm";1;"STM32F407VGTx";;;
35;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"8MHz";;;
